fid,zone,zoneId,dong,unitType,floor,floors,viewAngle,maxGap,angleRange,distanceMin,distanceMax
2-2,2구역,2,101,41,1,20,120,59,327~25,72,430
2-2,2구역,2,101,41,2,20,120,59,327~25,72,430
2-2,2구역,2,101,41,3,20,120,59,327~25,72,430
2-2,2구역,2,101,41,4,20,120,59,327~25,72,430
2-2,2구역,2,101,41,5,20,120,59,327~25,72,430
2-2,2구역,2,101,41,6,20,120,59,327~25,72,430
2-2,2구역,2,101,41,7,20,120,59,327~25,72,430
2-2,2구역,2,101,41,8,20,120,59,327~25,72,430
2-2,2구역,2,101,41,9,20,120,59,327~25,72,430
2-2,2구역,2,101,41,10,20,120,59,327~25,72,430
2-2,2구역,2,101,41,11,20,120,59,327~25,72,430
2-2,2구역,2,101,41,12,20,120,59,327~25,72,430
2-2,2구역,2,101,41,13,20,120,59,327~25,72,430
2-2,2구역,2,101,41,14,20,120,59,327~25,72,430
2-2,2구역,2,101,41,15,20,120,59,327~25,72,430
2-2,2구역,2,101,41,16,20,120,59,327~25,72,430
2-2,2구역,2,101,41,17,20,120,59,327~25,72,430
2-2,2구역,2,101,41,18,20,120,59,327~25,72,430
2-2,2구역,2,101,41,19,20,120,59,327~25,72,430
2-2,2구역,2,101,41,20,20,120,59,327~25,72,430
2-3,2구역,2,101,"55,56",1,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",2,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",3,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",4,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",5,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",6,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",7,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",8,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",9,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",10,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",11,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",12,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",13,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",14,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",15,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",16,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",17,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",18,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",19,20,107,38,228~265,80,236
2-3,2구역,2,101,"55,56",20,20,107,38,228~265,80,236
2-4,2구역,2,102,70,1,45,41,27,354~20,172,456
2-4,2구역,2,102,70,2,45,41,27,354~20,172,456
2-4,2구역,2,102,70,3,45,41,27,354~20,172,456
2-4,2구역,2,102,70,4,45,41,27,354~20,172,456
2-4,2구역,2,102,70,5,45,41,27,354~20,172,456
2-4,2구역,2,102,70,6,45,41,27,354~20,172,456
2-4,2구역,2,102,70,7,45,41,27,354~20,172,456
2-4,2구역,2,102,70,8,45,41,27,354~20,172,456
2-4,2구역,2,102,70,9,45,41,27,354~20,172,456
2-4,2구역,2,102,70,10,45,41,27,354~20,172,456
2-4,2구역,2,102,70,11,45,41,27,354~20,172,456
2-4,2구역,2,102,70,12,45,41,27,354~20,172,456
2-4,2구역,2,102,70,13,45,41,27,354~20,172,456
2-4,2구역,2,102,70,14,45,41,27,354~20,172,456
2-4,2구역,2,102,70,15,45,41,27,354~20,172,456
2-4,2구역,2,102,70,16,45,41,27,354~20,172,456
2-4,2구역,2,102,70,17,45,41,27,354~20,172,456
2-4,2구역,2,102,70,18,45,41,27,354~20,172,456
2-4,2구역,2,102,70,19,45,41,27,354~20,172,456
